graph,algorithm,best_colors,avg_colors,std_colors,avg_conflicts,avg_time,std_time,best_known,deviation_best,deviation_avg
gc_20_9,Greedy,11,11.0,0.0,0.0,0.00014095306396484376,1.9169654402452477e-05,7,57.14285714285714,57.14285714285714
gc_20_9,Tabu Search,11,11.0,0.0,0.0,3.293807554244995,0.05008509198486902,7,57.14285714285714,57.14285714285714
gc_20_9,ACO,7,7.6,0.5477225575051662,6.8,1.6751594066619873,0.03335619530089755,7,0.0,8.571428571428566
gc_4_1,Greedy,3,3.0,0.0,0.0,1.354217529296875e-05,7.585308732735265e-06,5,-40.0,-40.0
gc_4_1,Tabu Search,2,2.0,0.0,0.0,8.740425109863282e-05,0.00012283585731485844,5,-60.0,-60.0
gc_4_1,ACO,2,2.8,0.4472135954999579,0.0,0.008503866195678712,0.00832655224146258,5,-60.0,-44.00000000000001
